epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,137.876456,16.981115,11.980124,98.806534,17.851415,8.095512,0.001094,0.438239,0.000000,0.000000
2,84.821514,18.211175,6.429947,70.885343,18.295264,4.901694,0.002311,0.486943,0.003573,0.508534
3,62.219504,18.155510,4.068110,56.100979,17.802295,3.515640,0.003383,0.569340,0.003142,0.592960
4,52.210202,17.861618,3.139418,48.940759,17.740582,2.825376,0.002954,0.622331,0.002946,0.619450
5,46.337850,17.593101,2.607869,44.530196,17.511235,2.428826,0.002666,0.658450,0.002731,0.646603
6,42.853468,17.330136,2.310664,42.329074,17.495556,2.220847,0.002417,0.690665,0.002625,0.661503
7,39.741725,17.153839,2.039252,39.193010,17.198385,1.955762,0.002195,0.718557,0.002437,0.686902
8,37.383311,16.999428,1.837841,37.560413,16.946693,1.831960,0.002005,0.743548,0.002294,0.705562
9,35.539599,16.827567,1.689212,35.805884,16.760991,1.688282,0.001820,0.767011,0.002162,0.722577
10,34.931491,16.708403,1.652421,35.607999,17.031743,1.642558,0.001699,0.782571,0.002151,0.724063
11,33.417963,16.562967,1.528082,33.810608,16.734778,1.504387,0.001574,0.798566,0.002032,0.739435
12,32.029558,16.453779,1.412269,33.294328,16.976606,1.434178,0.001453,0.813762,0.001976,0.746905
13,31.331388,16.321263,1.363429,32.354258,16.193804,1.424042,0.001376,0.823458,0.001920,0.753929
14,30.332536,16.197777,1.285296,31.625773,16.356214,1.341741,0.001282,0.835757,0.001852,0.762730
15,29.735367,16.107815,1.241339,31.312492,16.336607,1.315405,0.001214,0.844685,0.001822,0.767612
