epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,163.434664,15.640097,14.779457,113.852939,17.275608,9.657733
2,101.546541,17.632288,8.391425,90.959348,17.740010,7.321934
3,83.395230,18.247936,6.514729,76.502992,18.434508,5.806848
4,71.256625,18.504057,5.275257,67.051963,18.069700,4.898226
5,62.574775,18.415242,4.415953,59.768431,18.906142,4.086229
6,56.737373,18.280947,3.845643,55.108961,17.732647,3.737631
7,52.989203,18.222050,3.476715,51.633532,17.782399,3.385113
8,49.592497,18.135339,3.145716,48.466492,18.039701,3.042679
9,47.186093,18.091360,2.909473,46.601392,18.416276,2.818512
10,45.180294,18.008570,2.717172,44.613255,18.198922,2.641433
