epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,135.738278,16.851547,11.888673,95.118724,18.158599,7.696012
2,82.245883,17.880021,6.436586,70.386875,18.649834,5.173704
3,61.569585,18.055150,4.351444,54.885068,17.493400,3.739167
4,49.803861,17.791684,3.201218,47.286623,17.291552,2.999507
5,44.295688,17.675288,2.662040,41.521142,17.451889,2.406925
6,39.482116,17.594058,2.188806,38.851833,17.637600,2.121423
7,36.857149,17.536133,1.932102,36.173459,17.507710,1.866575
8,34.873968,17.399425,1.747454,34.535778,17.200776,1.733500
9,33.243397,17.245725,1.599767,32.949903,17.322250,1.562765
10,31.887865,17.073301,1.481456,31.939328,16.979385,1.495994
