epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,136.196103,16.754166,11.944194,95.960932,17.889712,7.807122
2,82.039354,17.880932,6.415842,69.682273,18.114104,5.156817
3,61.063598,17.787964,4.327563,54.277803,17.630034,3.664777
4,50.589599,17.666173,3.292343,47.153632,17.199805,2.995383
5,43.729062,17.585467,2.614360,43.461527,16.795914,2.666561
6,39.731937,17.434669,2.229727,38.446795,17.629033,2.081776
7,36.925732,17.332463,1.959327,35.994943,17.060120,1.893482
8,35.250528,17.217612,1.803292,34.291330,17.045959,1.724537
9,32.978294,17.061802,1.591649,33.162724,17.354241,1.580848
10,31.930364,16.914083,1.501628,31.964258,16.677148,1.528711
