epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,136.100851,16.971526,11.911875,96.695695,18.082548,7.860726,0.001058,0.470020,0.000588,0.498980
2,82.056089,18.313693,6.372141,69.643834,17.940228,5.166438,0.002099,0.460667,0.003923,0.457340
3,61.314544,18.162656,4.311132,54.652556,18.380258,3.623441,0.004057,0.483507,0.003789,0.510246
4,50.737915,18.029366,3.266994,46.773192,18.176707,2.855972,0.003861,0.506760,0.003677,0.524895
5,43.858465,17.894291,2.592617,42.078974,18.399091,2.364261,0.003800,0.513790,0.003727,0.520796
6,40.279505,17.721380,2.252015,39.104056,17.657555,2.140973,0.003797,0.513461,0.003677,0.524986
7,37.332650,17.565834,1.972911,37.082675,17.619377,1.942661,0.003770,0.517096,0.003669,0.528216
8,35.405883,17.427718,1.794075,35.628838,16.928264,1.866421,0.003742,0.521260,0.003636,0.533230
9,33.755764,17.222716,1.649600,33.314270,17.559464,1.571856,0.003705,0.525807,0.003624,0.534283
10,32.226739,17.095670,1.509441,32.585449,17.383596,1.516575,0.003666,0.530916,0.003610,0.535668
11,31.065263,16.943395,1.408537,31.170559,16.922645,1.421255,0.003650,0.533242,0.003536,0.544387
12,29.952770,16.811066,1.310567,30.185427,16.969709,1.318071,0.003604,0.538216,0.003501,0.548806
13,29.020462,16.636244,1.234854,29.633397,16.807697,1.279107,0.003568,0.542558,0.003463,0.554367
14,28.708807,16.512699,1.216064,29.355265,16.880025,1.244071,0.003547,0.546089,0.003453,0.554675
15,28.471971,16.433362,1.200346,28.647693,16.690868,1.192250,0.003515,0.549914,0.003432,0.557471
