epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,135.516604,16.993539,11.852294,96.607588,17.561204,7.904636,0.001254,0.458330,0.000280,0.497881
2,80.885712,18.157736,6.272766,67.017286,18.234410,4.878248,0.003148,0.461710,0.003973,0.485678
3,59.232055,18.040890,4.119076,52.807755,18.546228,3.426114,0.004009,0.488440,0.003851,0.497843
4,48.694569,17.906685,3.078750,46.932875,18.313227,2.861927,0.003878,0.504240,0.003803,0.508087
5,44.946796,17.691456,2.725496,42.346261,18.010000,2.433589,0.003810,0.512378,0.003740,0.517525
6,40.156343,17.521359,2.263461,38.983769,17.596885,2.138652,0.003764,0.517670,0.003657,0.528980
7,38.095897,17.396347,2.069918,38.221543,17.158707,2.106248,0.003738,0.521035,0.003586,0.537374
8,35.780342,17.254701,1.852527,35.524382,16.891080,1.863295,0.003685,0.528412,0.003570,0.539574
9,33.685836,17.073975,1.661150,33.722786,16.997911,1.672452,0.003642,0.533717,0.003523,0.544940
10,32.327357,16.948149,1.537885,32.970892,17.240469,1.573007,0.003608,0.538553,0.003476,0.549961
11,31.671372,16.817798,1.485321,31.663122,16.932816,1.472996,0.003588,0.541143,0.003465,0.552143
12,30.339102,16.691132,1.364762,30.447219,16.832063,1.361481,0.003547,0.545507,0.003447,0.555238
13,29.369489,16.528522,1.284061,30.007742,16.582017,1.342538,0.003524,0.548184,0.003425,0.557191
14,28.609725,16.404854,1.220452,29.144842,16.647301,1.249720,0.003516,0.550152,0.003409,0.558647
15,28.021542,16.298066,1.172313,28.989125,15.971186,1.301760,0.003485,0.553693,0.003372,0.564159
