epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,256.488016,17.060388,11.971381,175.614551,18.555158,7.852970
2,143.678574,18.892533,6.239302,120.356818,20.788756,4.978403
3,100.608945,19.607677,4.050063,98.166709,19.843437,3.916164
4,83.016519,19.705111,3.165570,75.255363,19.669244,2.779306
5,70.428751,19.809147,2.530980,67.163184,19.509752,2.382672
6,66.109625,19.716906,2.319636,61.784807,19.869010,2.095790
7,58.326972,19.742479,1.929225,56.648755,19.696302,1.847623
8,53.990599,19.718917,1.713584,53.566747,19.390471,1.708814
9,50.856753,19.683751,1.558650,50.603616,20.202125,1.520075
10,47.831824,19.628011,1.410191,48.765746,20.002453,1.438165
