epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,135.345056,17.003581,11.834032,96.575540,17.520237,7.905503,0.001150,0.465050,0.000272,0.513051
2,79.859630,18.314271,6.154308,66.269463,18.892044,4.737348,0.002281,0.447005,0.003934,0.461314
3,58.246219,18.439946,3.980220,52.474761,18.707446,3.376342,0.004074,0.481392,0.003890,0.498435
4,49.081198,18.269423,3.080782,45.865672,18.164130,2.769771,0.003956,0.494106,0.003834,0.502240
5,43.666441,18.027786,2.563478,42.351717,18.535918,2.381197,0.003878,0.503812,0.003823,0.507211
6,39.876620,17.838081,2.203470,38.866062,18.087324,2.077504,0.003836,0.508828,0.003695,0.524579
7,37.366056,17.648164,1.971409,37.056216,18.149652,1.890288,0.003802,0.512802,0.003683,0.524907
8,35.048080,17.504488,1.753982,34.620148,17.238388,1.737813,0.003771,0.517319,0.003633,0.532752
9,33.106686,17.297656,1.580528,33.381293,17.174763,1.620293,0.003748,0.520107,0.003601,0.536250
10,32.046104,17.145354,1.489704,32.331734,17.094749,1.523339,0.003712,0.524826,0.003597,0.537052
11,30.794528,16.972300,1.381855,31.075891,17.225640,1.384670,0.003682,0.529023,0.003552,0.543583
12,30.159618,16.857943,1.329803,30.480869,16.820192,1.365716,0.003644,0.533079,0.003520,0.547057
13,29.344752,16.697161,1.264399,29.752397,16.562731,1.318618,0.003599,0.538757,0.003482,0.553027
14,28.262727,16.552272,1.170687,29.038986,16.668345,1.236721,0.003582,0.541708,0.003431,0.557267
15,27.802626,16.449276,1.134981,28.456694,16.490667,1.196261,0.003543,0.546555,0.003415,0.560302
