epoch,train_loss,train_content,train_style,val_loss,val_content,val_style,train_identity,train_similarity,val_identity,val_similarity
1,255.086214,15.855989,15.162351,141.974116,17.383717,12.459040,0.000876,0.577175,0.000000,0.000000
2,343.287062,16.607411,13.091784,207.055022,17.232030,13.123320,0.001958,0.475150,0.000586,0.501464
3,341.446979,16.971362,13.208585,521.832219,15.921275,13.507023,0.001924,0.492399,0.003708,0.473689
4,355.845240,17.201764,12.600741,294.233354,17.031322,12.378991,0.002126,0.509024,0.001534,0.529813
5,498.976603,17.615087,11.715294,454.213588,16.924776,10.994969,0.003642,0.527709,0.003273,0.583696
6,356.335583,17.349110,10.336245,312.247186,17.406642,9.535063,0.002356,0.706155,0.001995,0.745234
7,221.666963,18.051462,8.921772,259.281866,18.378277,8.345091,0.001144,0.853110,0.001575,0.795979
8,164.341877,18.810305,7.866183,239.767335,18.913081,7.432647,0.000669,0.914049,0.001465,0.808992
9,134.751989,19.342400,6.983254,224.356212,19.865194,6.506711,0.000456,0.941593,0.001394,0.820087
10,116.228017,19.750800,6.242805,215.443508,20.001432,5.902493,0.000340,0.956354,0.001364,0.824645
11,103.648324,19.895307,5.652841,211.916011,19.904136,5.427955,0.000272,0.965217,0.001377,0.823294
12,94.428763,19.944386,5.150871,203.286037,19.741626,4.913238,0.000230,0.970608,0.001344,0.828140
13,86.284882,19.939585,4.678523,195.903617,20.188153,4.482410,0.000196,0.974919,0.001309,0.832054
14,80.732169,19.975547,4.338112,192.096175,19.581781,4.285382,0.000174,0.977720,0.001297,0.833530
15,76.010285,19.969065,4.083110,186.115754,20.542249,3.953477,0.000152,0.980553,0.001260,0.837727
