epoch,train_loss,train_content,train_style,val_loss,val_content,val_style
1,74.904438,16.200550,11.740778,55.104002,16.486593,7.723482
2,47.718914,16.306978,6.282387,41.840300,15.361032,5.295853
3,37.418971,15.578521,4.368090,34.385276,15.591926,3.758670
4,32.410978,15.066074,3.468981,31.107381,14.471640,3.327148
5,29.041308,14.623090,2.883644,28.360525,14.926859,2.686733
6,26.867782,14.274992,2.518558,26.363385,14.221913,2.428295
7,25.523404,13.981976,2.308286,25.159197,14.168961,2.198047
8,24.296698,13.740151,2.111309,24.118208,13.791512,2.065339
9,23.321400,13.498693,1.964541,23.771955,13.707860,2.012819
10,22.477178,13.276910,1.840053,22.786568,13.222522,1.912809
